n,algoritmo,escenario,repeticion,tiempo_ns,comparaciones
10000,Lineal,Final,9,73100,10000
10000,Binaria,Final,9,300,14
10000,Lineal,Final,10,73400,10000
10000,Binaria,Final,10,300,14
10000,Lineal,Final,11,191200,10000
10000,Binaria,Final,11,400,14
10000,Lineal,Final,12,68800,10000
10000,Binaria,Final,12,300,14
10000,Lineal,Final,13,112200,10000
10000,Binaria,Final,13,600,14
10000,Lineal,Final,14,103200,10000
10000,Binaria,Final,14,600,14
10000,Lineal,Final,15,86200,10000
10000,Binaria,Final,15,500,14
10000,Lineal,Final,16,73100,10000
10000,Binaria,Final,16,400,14
10000,Lineal,Final,17,72700,10000
10000,Binaria,Final,17,400,14
10000,Lineal,Final,18,72400,10000
10000,Binaria,Final,18,300,14
10000,Lineal,Final,19,75000,10000
10000,Binaria,Final,19,300,14
10000,Lineal,Final,20,80500,10000
10000,Binaria,Final,20,300,14
10000,Lineal,Final,21,79700,10000
10000,Binaria,Final,21,300,14
10000,Lineal,Final,22,79600,10000
10000,Binaria,Final,22,400,14
10000,Lineal,Final,23,79600,10000
10000,Binaria,Final,23,300,14
10000,Lineal,Final,24,100100,10000
10000,Binaria,Final,24,400,14
10000,Lineal,Final,25,75900,10000
10000,Binaria,Final,25,300,14
10000,Lineal,Final,26,78100,10000
10000,Binaria,Final,26,300,14
10000,Lineal,Final,27,80500,10000
10000,Binaria,Final,27,400,14
10000,Lineal,Final,28,80500,10000
10000,Binaria,Final,28,300,14
10000,Lineal,Final,29,113000,10000
10000,Binaria,Final,29,400,14
10000,Lineal,Final,30,80600,10000
10000,Binaria,Final,30,400,14
10000,Lineal,Ausente,1,79400,10000
10000,Binaria,Ausente,1,500,13
10000,Lineal,Ausente,2,80800,10000
10000,Binaria,Ausente,2,500,13
10000,Lineal,Ausente,3,80300,10000
10000,Binaria,Ausente,3,300,13
10000,Lineal,Ausente,4,80700,10000
10000,Binaria,Ausente,4,500,13
10000,Lineal,Ausente,5,81000,10000
10000,Binaria,Ausente,5,300,13
10000,Lineal,Ausente,6,81100,10000
10000,Binaria,Ausente,6,300,13
10000,Lineal,Ausente,7,80900,10000
10000,Binaria,Ausente,7,300,13
10000,Lineal,Ausente,8,60600,10000
10000,Binaria,Ausente,8,300,13
10000,Lineal,Ausente,9,54000,10000
10000,Binaria,Ausente,9,200,13
10000,Lineal,Ausente,10,54100,10000
10000,Binaria,Ausente,10,200,13
10000,Lineal,Ausente,11,53600,10000
10000,Binaria,Ausente,11,300,13
10000,Lineal,Ausente,12,53400,10000
10000,Binaria,Ausente,12,200,13
10000,Lineal,Ausente,13,54200,10000
10000,Binaria,Ausente,13,200,13
10000,Lineal,Ausente,14,53600,10000
10000,Binaria,Ausente,14,200,13
10000,Lineal,Ausente,15,53600,10000
10000,Binaria,Ausente,15,300,13
10000,Lineal,Ausente,16,53900,10000
10000,Binaria,Ausente,16,200,13
10000,Lineal,Ausente,17,53400,10000
10000,Binaria,Ausente,17,500,13
10000,Lineal,Ausente,18,53900,10000
10000,Binaria,Ausente,18,200,13
10000,Lineal,Ausente,19,54300,10000
10000,Binaria,Ausente,19,300,13
10000,Lineal,Ausente,20,165700,10000
10000,Binaria,Ausente,20,200,13
10000,Lineal,Ausente,21,35500,10000
10000,Binaria,Ausente,21,200,13
10000,Lineal,Ausente,22,35100,10000
10000,Binaria,Ausente,22,200,13
10000,Lineal,Ausente,23,35000,10000
10000,Binaria,Ausente,23,100,13
10000,Lineal,Ausente,24,34600,10000
10000,Binaria,Ausente,24,100,13
10000,Lineal,Ausente,25,35100,10000
10000,Binaria,Ausente,25,100,13
10000,Lineal,Ausente,26,34600,10000
10000,Binaria,Ausente,26,100,13
10000,Lineal,Ausente,27,35100,10000
10000,Binaria,Ausente,27,100,13
10000,Lineal,Ausente,28,34600,10000
10000,Binaria,Ausente,28,200,13
10000,Lineal,Ausente,29,34700,10000
10000,Binaria,Ausente,29,100,13
10000,Lineal,Ausente,30,34700,10000
10000,Binaria,Ausente,30,200,13
100000,Lineal,Inicio,1,100,1
100000,Binaria,Inicio,1,300,16
100000,Lineal,Inicio,2,100,1
100000,Binaria,Inicio,2,200,16
100000,Lineal,Inicio,3,100,1
100000,Binaria,Inicio,3,200,16
100000,Lineal,Inicio,4,0,1
100000,Binaria,Inicio,4,200,16
100000,Lineal,Inicio,5,0,1
100000,Binaria,Inicio,5,200,16
100000,Lineal,Inicio,6,100,1
100000,Binaria,Inicio,6,200,16
100000,Lineal,Inicio,7,0,1
100000,Binaria,Inicio,7,200,16
100000,Lineal,Inicio,8,100,1
100000,Binaria,Inicio,8,200,16
100000,Lineal,Inicio,9,0,1
100000,Binaria,Inicio,9,200,16
100000,Lineal,Inicio,10,0,1
100000,Binaria,Inicio,10,100,16
100000,Lineal,Inicio,11,100,1
100000,Binaria,Inicio,11,200,16
100000,Lineal,Inicio,12,100,1
100000,Binaria,Inicio,12,200,16
100000,Lineal,Inicio,13,0,1
100000,Binaria,Inicio,13,200,16
100000,Lineal,Inicio,14,0,1
100000,Binaria,Inicio,14,100,16
100000,Lineal,Inicio,15,100,1
