lenguaje;n;algoritmo;escenario;repeticion;tiempo_ns;comparaciones
Python;10000;Lineal;Final;3;750400;10000
Python;10000;Lineal;Final;4;772600;10000
Python;10000;Lineal;Final;5;886800;10000
Python;10000;Lineal;Final;6;1155200;10000
Python;10000;Lineal;Final;7;1167000;10000
Python;10000;Lineal;Final;8;721100;10000
Python;10000;Lineal;Final;9;727800;10000
Python;10000;Lineal;Final;10;925400;10000
Python;10000;Lineal;Final;11;598100;10000
Python;10000;Lineal;Final;12;1058900;10000
Python;10000;Lineal;Final;13;653000;10000
Python;10000;Lineal;Final;14;759700;10000
Python;10000;Lineal;Final;15;1111500;10000
Python;10000;Lineal;Final;16;891200;10000
Python;10000;Lineal;Final;17;601800;10000
Python;10000;Lineal;Final;18;597400;10000
Python;10000;Lineal;Final;19;594900;10000
Python;10000;Lineal;Final;20;592400;10000
Python;10000;Lineal;Final;21;595900;10000
Python;10000;Lineal;Final;22;673400;10000
Python;10000;Lineal;Final;23;664800;10000
Python;10000;Lineal;Final;24;1184900;10000
Python;10000;Lineal;Final;25;1078600;10000
Python;10000;Lineal;Final;26;1142100;10000
Python;10000;Lineal;Final;27;1090100;10000
Python;10000;Lineal;Final;28;842300;10000
Python;10000;Lineal;Final;29;1091800;10000
Python;10000;Lineal;Final;30;1176200;10000
